comparison,n_shared,rho_all,rho_tissueDEGs,n_tissueDEGs,NES_tissueDOWN,p_tissueDOWN,NES_tissueUP,p_tissueUP
cells_vs_iWAT,12401,-0.05247625073095261,-0.044303590252717316,7511,1.0984089738844134,0.0014992503748125937,-1.322107263974214,0.0004997501249375312
cells_vs_gWAT,12401,0.23466244664862143,0.32103230051951265,4894,-2.1051464575652687,0.0004997501249375312,2.260731654378511,0.0004997501249375312
