gene,stat_cell,lfc_cell,padj_cell,stat_tis,lfc_tis,padj_tis
Col1a1,10.3429993245694,0.539023473393179,5.4265214379443605e-21,2.22030472562539,0.338749485472411,0.045530881798761
Bzw2,-10.2384290938793,-0.741865582257577,8.03841355464201e-21,3.9560265377107,0.394069581464519,0.0002548630889099
Kat8,-9.28670207142802,-1.72341039524864,6.39383219737318e-17,-4.73827364668351,-0.42374612989859,1.01994775522517e-05
Ptn,-8.42848279117941,-0.964929393764244,8.447252830582381e-14,1.53637106037161,0.927875330845814,0.175004764770768
Mxd4,-8.4284007583496,-0.418093406540776,8.447252830582381e-14,-2.1556975581681,-0.164736125844903,0.0524265085805692
Stc1,7.83623374968553,1.01074333366128,9.326234887048049e-12,3.27860967783659,1.13799343327037,0.0026531338097933
Ormdl3,-7.56882272837727,-0.511325250646819,6.484887185321049e-11,-13.9643229303908,-1.53836607511757,1.54283535519771e-41
Gpr137b,6.92579976760772,0.844442854030031,6.3681528476238305e-09,2.25261238145646,0.435489481573252,0.0423344795230698
C1qtnf6,6.90607121819228,1.00509846570763,6.3681528476238305e-09,4.67820370498634,0.698915110990076,1.32648569774145e-05
Gxylt2,-6.89774469410016,-1.36800136683673,6.3681528476238305e-09,5.90744251094071,1.01683703200535,2.8640728468492e-08
Ifi203,-6.6376092363722,-0.583144157072732,3.49330656605565e-08,6.03429919071015,0.651235617555577,1.4028027815188e-08
Olfml3,6.5666781212377,0.599611958330917,5.16773327438451e-08,3.69129513722462,0.71382895442352,0.0006665111494417
Actr1a,-6.36808714377904,-0.455631352999293,1.77457402263491e-07,-5.10917088253055,-0.315669527687379,1.80683974192475e-06
Sox9,6.32414834035102,0.531323844357572,2.19220846569336e-07,2.67580299212311,1.12673250328701,0.0149884244056758
Gpc1,6.19161859777267,0.5680933248522,4.78500130371436e-07,1.8830202589588,0.270920770907134,0.0925006276998506
Ifi207,-6.17137164523145,-0.580674841581499,5.09993156171884e-07,7.84805586779331,0.839810136207831,9.89548482973495e-14
Tubb5,6.11636114746057,0.320922280874448,6.78769855957802e-07,1.32222642444691,0.107778330789738,0.247582251696522
Col5a1,5.93949333921045,0.358884780676642,1.91444690711587e-06,2.2369035319967,0.299659954751016,0.0438851558047144
Gna11,-5.90172769292236,-0.383425256363068,2.28191543050722e-06,-7.92354514782397,-0.54579601909084,5.63332484716957e-14
Pcolce2,5.77640992244556,0.812651271449995,4.5989020587692e-06,3.38376934265423,0.572322281008584,0.0018992228102635
Cygb,5.64648104456208,0.507645821753592,9.39934336024702e-06,2.78866662069324,0.225796640053364,0.0110997937217466
Scara5,-5.60342818669245,-0.597672755515519,1.11828506026291e-05,4.73596779942878,0.634489696185543,1.02998883609588e-05
Gipc1,-5.60077508316751,-0.69489410674404,1.11828506026291e-05,0.865071942123946,0.111923164067167,0.461606835569433
Kdelr3,5.54307926077019,0.655833816185108,1.49255437369068e-05,3.96326921547603,0.468651167366604,0.0002480803975242
Bod1l,-5.52266990387074,-0.356807311237826,1.60973439358499e-05,1.72267806523249,0.0771707155855947,0.125573469971433
Enpp4,-5.47608274101862,-0.506486116100313,2.01583839495971e-05,-3.63325054131736,-0.351225323826191,0.0008181043677637
Znfx1,-5.44716858908598,-0.423652348528361,2.28462163371051e-05,-5.07480771171856,-0.454349679452915,2.12764699673104e-06
Ccl8,5.43209654185075,0.674382494769057,2.39750418469025e-05,5.43643898006077,0.973530512473313,3.52431858807229e-07
Tmsb10,5.41722368425455,0.415308593296847,2.51581825549335e-05,2.14401374833405,0.232485504078186,0.0538584358915637
Uhmk1,-5.40150218302576,-0.483906638367632,2.6550804346104e-05,-4.24783765154061,-0.245649908739971,8.22666879499496e-05
Ak4,5.39128732632456,0.568678180568151,2.71988452283944e-05,0.791083868416833,0.313778632720395,0.503268946093493
Oip5os1,5.36292081820519,0.282197565257924,3.08432157829198e-05,-3.39614957392533,-0.178517738643539,0.0018269638539015
Unc5b,5.34482082194636,0.474236943881879,3.30568273960849e-05,-2.49973190697888,-0.364922705121844,0.0235506929962891
Scaf11,-5.32226268980181,-0.353606549736752,3.56519167229789e-05,-1.25150195926824,-0.065382150207383,0.275160630041711
Ehd4,-5.32042080137476,-0.490128686093744,3.56519167229789e-05,7.31512648105541,0.566429619998221,4.31427555563896e-12
Mndal,-5.25168694258605,-0.447761730731237,5.04593696292927e-05,6.81142674541113,0.685287903253284,1.26775064924908e-10
Id2,5.18503171939421,0.747274793494058,7.0356326608572e-05,4.08868547929219,0.476600026507553,0.000153870421995
Ncam1,5.17282464679723,0.374258146321489,7.31367755603072e-05,2.41957961348018,0.993088332705491,0.0287111898791898
Sox4,5.15753569573517,0.26133219132974,7.73311698263323e-05,3.87622149674169,0.70355723003803,0.0003425771619641
Dlg3,-5.13797948220891,-0.823171516529579,8.36804216528402e-05,4.13255576397861,0.814501325744134,0.0001298660504487
Dcaf7,-5.11974004198999,-0.561902917130907,8.899412424142e-05,3.87074383371746,0.316893813435718,0.0003494268088158
Nexn,-5.11719693495233,-0.787530085874335,8.899412424142e-05,2.71635688522732,0.42719069338298,0.0134461545317361
Pitpnm1,-5.10884254601465,-0.543507407932371,9.08567261718885e-05,-3.76731145573408,-0.387335648214457,0.0005101342791528
Ergic3,-5.10261473615177,-0.345181166572603,9.17651109055671e-05,-1.31562765398519,-0.0725548846749677,0.250073592349914
Fbxo45,-5.00012834527575,-0.406765865847018,0.0001534538781968,-8.96221589602337,-1.35736130718178,1.38248062054492e-17
Col11a1,-4.9856138953845,-1.18688952019355,0.0001618387252302,4.83865367239361,1.86254796117282,6.48953559935696e-06
Lmna,4.97193940367889,0.269638287828204,0.0001662020561883,3.92728992888029,0.289936209778225,0.000283617559313
Tcf7l2,-4.97112454927538,-0.242046399063513,0.0001662020561883,-0.805909029403159,-0.0632478150760643,0.494953928310346
Srrm2,-4.96822821294659,-0.251449702489502,0.0001662020561883,0.178112724166477,0.0081936914248442,0.888113129358922
Pla2g12a,-4.94948397550226,-0.365083962831097,0.0001793739601235,-6.40363629650657,-0.951275785493913,1.5967367609962202e-09
Sparc,4.90056977103292,0.206760902585452,0.0002258380373135,-2.32396822888322,-0.267248817826834,0.035963417806822
Ifit2,-4.87290488905277,-0.853207979258297,0.000254895853963,4.53681381054777,0.647678949744627,2.47634805502557e-05
Dennd1b,-4.84186925227504,-0.601000828720686,0.0002925090034936,5.07347332697384,0.40343050853141,2.14066966187769e-06
Tuba1a,4.78072281535761,0.357006187648831,0.0003841472082225,1.4486742974427,0.192066462727363,0.202277069835824
Sulf2,4.77637838719084,0.589572369129615,0.0003841472082225,-0.722567284150657,-0.0947729593899624,0.543775391833513
Cdsn,4.75397734865126,0.300988806679099,0.000421756448319,-10.5329023049089,-3.24075345576922,6.2618481695253705e-24
Mycbp2,-4.70007756675388,-0.324723314832375,0.0005404371758942,-2.63554282552853,-0.283949730678727,0.0166450898749428
Rnf187,-4.68228586696342,-0.31479646266809,0.0005795521113036,-4.69291849917813,-0.298116097173447,1.24595059172397e-05
Lgalsl,-4.67203855006775,-0.51506754198835,0.0005990842559761,-1.47503954747443,-0.153544535720819,0.193766065679242
Kctd5,-4.66139011545827,-0.545034417692689,0.0006205926561315,4.14851976220062,0.393509457537393,0.0001218851864843
Ppp1r3c,4.65051838560556,0.34300968221407,0.0006436724339873,-5.18214288706001,-0.902605387547525,1.26979346855266e-06
