"category","subcategory","pathway_id","pathway_name","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","geneID","Count","geneID_symbols","contrast","tissue","direction","database","analysis_type","logFC_cutoff","fdr_cutoff"
"Environmental Information Processing","Signaling molecules and interaction","mmu04060","Cytokine-cytokine receptor interaction","29/281","182/6485",0.159340659340659,3.67731023424974,7.79649683683398,6.92969409354349e-10,2.00961128712761e-07,"245527,16181,23886,20307,20308,12984,12774,20296,16178,15945,14562,20306,12986,16197,20303,20310,14825,20302,16160,12777,16176,213208,12775,55985,18413,16153,12769,20299,16165",29,"Eda2r,Il1rn,Gdf15,Ccl8,Ccl9,Csf2rb2,Ccr5,Ccl2,Il1r2,Cxcl10,Gdf3,Ccl7,Csf3r,Il7r,Ccl4,Cxcl2,Cxcl1,Ccl3,Il12b,Ccr10,Il1b,Il20rb,Ccr7,Cxcl13,Osm,Il10,Ccr9,Ccl22,Il13ra2","gWAT_KD_vs_CTL","gWAT","Up","KEGG","ORA",1,0.05
"Environmental Information Processing","Signaling molecules and interaction","mmu04061","Viral protein interaction with cytokine and cytokine receptor","17/281","66/6485",0.257575757575758,5.94440849778928,8.59194310599871,1.52788434729459e-09,2.21543230357716e-07,"20307,20308,12774,20296,15945,20306,20303,20310,14825,20302,12777,213208,12775,55985,16153,12769,20299",17,"Ccl8,Ccl9,Ccr5,Ccl2,Cxcl10,Ccl7,Ccl4,Cxcl2,Cxcl1,Ccl3,Ccr10,Il20rb,Ccr7,Cxcl13,Il10,Ccr9,Ccl22","gWAT_KD_vs_CTL","gWAT","Up","KEGG","ORA",1,0.05
"Human Diseases","Infectious disease: parasitic","mmu05144","Malaria","10/281","48/6485",0.208333333333333,4.80797746144721,5.63523461279139,3.01070793123722e-05,0.00291035100019598,"16414,20969,20296,27007,16176,170733,20339,16153,17057,16627",10,"Itgb2,Sdc1,Ccl2,Klrk1,Il1b,Klra17,Sele,Il10,Klrb1a,Klra1","gWAT_KD_vs_CTL","gWAT","Up","KEGG","ORA",1,0.05
"Organismal Systems","Immune system","mmu04657","IL-17 signaling pathway","12/281","72/6485",0.166666666666667,3.84638196915777,5.16853636646963,5.1704265419014e-05,0.00374855924287851,"22032,12367,20201,20296,14283,15945,20306,20310,14825,16176,17386,17392",12,"Traf4,Casp3,S100a8,Ccl2,Fosl1,Cxcl10,Ccl7,Cxcl2,Cxcl1,Il1b,Mmp13,Mmp3","gWAT_KD_vs_CTL","gWAT","Up","KEGG","ORA",1,0.05
"Organismal Systems","Immune system","mmu04613","Neutrophil extracellular trap formation","15/281","120/6485",0.125,2.88478647686833,4.43498693314835,0.000190715764550643,0.0110615143439373,"12362,16414,14129,170743,12273,319158,56644,319156,246256,170744,12796,17972,319164,319149,319166",15,"Casp1,Itgb2,Fcgr1,Tlr7,C5ar1,H4c9,Clec7a,H4c4,Fcgr4,Tlr8,Camp,Ncf4,H2ac6,H3c4,H2ac8","gWAT_KD_vs_CTL","gWAT","Up","KEGG","ORA",1,0.05
"Organismal Systems","Immune system","mmu04062","Chemokine signaling pathway","18/281","166/6485",0.108433734939759,2.50246537752433,4.17323756332169,0.000278441417981704,0.0134580018691157,"20307,20308,12774,320207,20296,15945,20306,22324,20303,20310,14825,14191,20302,12777,12775,55985,12769,20299",18,"Ccl8,Ccl9,Ccr5,Pik3r5,Ccl2,Cxcl10,Ccl7,Vav1,Ccl4,Cxcl2,Cxcl1,Fgr,Ccl3,Ccr10,Ccr7,Cxcl13,Ccr9,Ccl22","gWAT_KD_vs_CTL","gWAT","Up","KEGG","ORA",1,0.05
"Human Diseases","Infectious disease: bacterial","mmu05134","Legionellosis","9/281","53/6485",0.169811320754717,3.91895521385886,4.54078685935147,0.000391165841008432,0.0162054419846351,"12362,16414,12367,17948,268973,20310,14825,16160,16176",9,"Casp1,Itgb2,Casp3,Naip2,Nlrc4,Cxcl2,Cxcl1,Il12b,Il1b","gWAT_KD_vs_CTL","gWAT","Up","KEGG","ORA",1,0.05
"Human Diseases","Infectious disease: bacterial","mmu05152","Tuberculosis","16/281","149/6485",0.10738255033557,2.47820583247749,3.88471560267282,0.000674135517002655,0.0244374124913462,"13040,242341,12795,16411,16414,14129,12367,56644,21897,246256,12796,16160,16176,56619,16153,22337",16,"Ctss,Atp6v0d2,Plk3,Itgax,Itgb2,Fcgr1,Casp3,Clec7a,Tlr1,Fcgr4,Camp,Il12b,Il1b,Clec4e,Il10,Vdr","gWAT_KD_vs_CTL","gWAT","Up","KEGG","ORA",1,0.05
"Organismal Systems","Immune system","mmu04625","C-type lectin receptor signaling pathway","12/281","102/6485",0.117647058823529,2.7150931546996,3.71547330830433,0.00142550727487706,0.045933012190483,"12795,12362,17474,69810,56644,56620,13654,16160,16176,56619,16153,20299",12,"Plk3,Casp1,Clec4d,Clec4b1,Clec7a,Clec4n,Egr2,Il12b,Il1b,Clec4e,Il10,Ccl22","gWAT_KD_vs_CTL","gWAT","Up","KEGG","ORA",1,0.05
