"category","subcategory","pathway_id","pathway_name","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","geneID","Count","geneID_symbols","contrast","tissue","direction","database","analysis_type","logFC_cutoff","fdr_cutoff"
"Human Diseases","Endocrine and metabolic disease","mmu04931","Insulin resistance","15/368","102/6485",0.147058823529412,2.5915121483376,3.9735052747475,0.000574194102329687,0.00607005193891383,"20528,100705,110078,19013,18534,20787,58805,26457,14936,18127,19017,232493,244416,241113,20526",15,"Slc2a4,Acacb,Pygb,Ppara,Pck1,Srebf1,Mlxipl,Slc27a1,Gys1,Nos3,Ppargc1a,Gys2,Ppp1r3b,Prkag3,Slc2a2","iWAT_KD_vs_CTL","iWAT","Down","KEGG","ORA",1,0.05
"Metabolism","Carbohydrate metabolism","mmu00020","Citrate cycle (TCA cycle)","7/368","29/6485",0.241379310344828,4.25365442278861,4.30690045455091,0.000940830293362886,0.00934272607914693,"18534,11428,18597,18563,67834,68263,104112",7,"Pck1,Aco1,Pdha1,Pcx,Idh3a,Pdhb,Acly","iWAT_KD_vs_CTL","iWAT","Down","KEGG","ORA",1,0.05
"Organismal Systems","Endocrine system","mmu04920","Adipocytokine signaling pathway","11/368","65/6485",0.169230769230769,2.98223244147157,3.93930780060607,0.000946897913427054,0.00934272607914693,"20528,100705,19013,18534,11450,68465,20183,19017,14081,16846,241113",11,"Slc2a4,Acacb,Ppara,Pck1,Adipoq,Adipor2,Rxrg,Ppargc1a,Acsl1,Lep,Prkag3","iWAT_KD_vs_CTL","iWAT","Down","KEGG","ORA",1,0.05
"Metabolism","Carbohydrate metabolism","mmu00010","Glycolysis / Gluconeogenesis","10/368","56/6485",0.178571428571429,3.14683618012422,3.95728545249228,0.00104378646033686,0.0099664771696681,"16832,15277,18534,18597,72157,68263,621603,60525,14120,230163",10,"Ldhb,Hk2,Pck1,Pdha1,Pgm1,Pdhb,Aldh3b2,Acss2,Fbp2,Aldob","iWAT_KD_vs_CTL","iWAT","Down","KEGG","ORA",1,0.05
"Metabolism","Lipid metabolism","mmu00071","Fatty acid degradation","8/368","39/6485",0.205128205128205,3.61482720178372,4.01704150827984,0.00129718211745142,0.0119989345864257,"69123,71519,270076,93747,11364,11430,14081,224530",8,"Eci3,Cyp2u1,Gcdh,Echs1,Acadm,Acox1,Acsl1,Acat3","iWAT_KD_vs_CTL","iWAT","Down","KEGG","ORA",1,0.05
"Metabolism","Carbohydrate metabolism","mmu00051","Fructose and mannose metabolism","7/368","32/6485",0.21875,3.85487432065217,3.97061083138977,0.0017511069513308,0.0154722498963552,"15277,18639,225913,66065,170768,14120,230163",7,"Hk2,Pfkfb1,Tkfc,Hsd17b14,Pfkfb3,Fbp2,Aldob","iWAT_KD_vs_CTL","iWAT","Down","KEGG","ORA",1,0.05
"Environmental Information Processing","Signal transduction","mmu04024","cAMP signaling pathway","20/368","173/6485",0.115606936416185,2.03725810505152,3.39158390557461,0.00177721789350026,0.0154722498963552,"17200,16526,64082,19013,243270,18576,16890,98660,11430,80885,14677,11539,22095,11540,14812,30952,233079,84112,224129,271639",20,"Mc2r,Kcnk2,Popdc2,Ppara,Hcar1,Pde3b,Lipe,Atp1a2,Acox1,Hcar2,Gnai1,Adora1,Tshr,Adora2a,Grin2b,Cngb3,Ffar2,Sucnr1,Adcy5,Adcy10","iWAT_KD_vs_CTL","iWAT","Down","KEGG","ORA",1,0.05
"Metabolism","Amino acid metabolism","mmu00350","Tyrosine metabolism","6/368","25/6485",0.24,4.22934782608696,3.96775403500833,0.00225812251214839,0.0190972646741693,"11754,14085,14874,15445,621603,13190",6,"Aoc3,Fah,Gstz1,Hpd,Aldh3b2,Dct","iWAT_KD_vs_CTL","iWAT","Down","KEGG","ORA",1,0.05
"Metabolism","Lipid metabolism","mmu00564","Glycerophospholipid metabolism","12/368","83/6485",0.144578313253012,2.54779989523311,3.48074490726168,0.00232391724584489,0.0191077640213914,"14571,66586,225845,102247,212862,227333,14712,53357,14555,18784,14245,67512",12,"Gpd2,Crls1,Plaat3,Gpat4,Chpt1,Dgkd,Gnpat,Pla2g6,Gpd1,Pla2g5,Lpin1,Agpat2","iWAT_KD_vs_CTL","iWAT","Down","KEGG","ORA",1,0.05
"Organismal Systems","Digestive system","mmu04975","Fat digestion and absorption","6/368","26/6485",0.230769230769231,4.06668060200669,3.84280856500051,0.00279767704186866,0.0223814163349493,"26457,13350,67800,18784,67512,224530",6,"Slc27a1,Dgat1,Dgat2,Pla2g5,Agpat2,Acat3","iWAT_KD_vs_CTL","iWAT","Down","KEGG","ORA",1,0.05
"Organismal Systems","Excretory system","mmu04964","Proximal tubule bicarbonate reclamation","5/368","19/6485",0.263157894736842,4.63744279176201,3.89431694323993,0.00343487241284952,0.026755848268512,"18534,98660,27376,12351,76257",5,"Pck1,Atp1a2,Slc25a10,Car4,Slc38a3","iWAT_KD_vs_CTL","iWAT","Down","KEGG","ORA",1,0.05
"Metabolism","Lipid metabolism","mmu01040","Biosynthesis of unsaturated fatty acids","6/368","29/6485",0.206896551724138,3.64598950524738,3.50252728841427,0.00499823355525141,0.0379353110860107,"20249,11430,171282,20280,70757,170439",6,"Scd1,Acox1,Acot4,Scp2,Hacd2,Elovl6","iWAT_KD_vs_CTL","iWAT","Down","KEGG","ORA",1,0.05
"Human Diseases","Cancer: overview","mmu05207","Chemical carcinogenesis - receptor activation","17/368","154/6485",0.11038961038961,1.94531691134952,2.9119090296938,0.00614461404700927,0.0454701439478686,"66447,14860,211666,13685,11556,19013,20183,14865,68214,14677,54485,13850,224129,23834,14867,13076,68312",17,"Mgst3,Gsta4,Mgst2,Eif4ebp1,Adrb3,Ppara,Rxrg,Gstm4,Gsto2,Gnai1,Dll4,Ephx2,Adcy5,Cdc6,Gstm6,Cyp1a1,Gstm7","iWAT_KD_vs_CTL","iWAT","Down","KEGG","ORA",1,0.05
"Metabolism","Lipid metabolism","mmu00592","alpha-Linolenic acid metabolism","4/368","14/6485",0.285714285714286,5.03493788819876,3.70673333670649,0.00647986594335212,0.046781471200786,"225845,11430,53357,18784",4,"Plaat3,Acox1,Pla2g6,Pla2g5","iWAT_KD_vs_CTL","iWAT","Down","KEGG","ORA",1,0.05
