"category","subcategory","pathway_id","pathway_name","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","geneID","Count","geneID_symbols","contrast","tissue","direction","database","analysis_type","logFC_cutoff","fdr_cutoff"
"Environmental Information Processing","Signaling molecules and interaction","mmu04060","Cytokine-cytokine receptor interaction","29/279","182/6447",0.159340659340659,3.68196856906534,7.80555718729365,6.68829317576245e-10,1.93960502097111e-07,"245527,16181,23886,20307,20308,12984,12774,20296,16178,15945,14562,20306,12986,16197,20303,20310,14825,20302,16160,12777,16176,213208,12775,55985,18413,16153,12769,20299,16165",29,"Eda2r,Il1rn,Gdf15,Ccl8,Ccl9,Csf2rb2,Ccr5,Ccl2,Il1r2,Cxcl10,Gdf3,Ccl7,Csf3r,Il7r,Ccl4,Cxcl2,Cxcl1,Ccl3,Il12b,Ccr10,Il1b,Il20rb,Ccr7,Cxcl13,Osm,Il10,Ccr9,Ccl22,Il13ra2","gWAT_KD_vs_CTL","gWAT","Up","KEGG","ORA",1,0.05
"Environmental Information Processing","Signaling molecules and interaction","mmu04061","Viral protein interaction with cytokine and cytokine receptor","17/279","66/6447",0.257575757575758,5.95193874226132,8.59959361917757,1.49508587864419e-09,2.16787452403408e-07,"20307,20308,12774,20296,15945,20306,20303,20310,14825,20302,12777,213208,12775,55985,16153,12769,20299",17,"Ccl8,Ccl9,Ccr5,Ccl2,Cxcl10,Ccl7,Ccl4,Cxcl2,Cxcl1,Ccl3,Ccr10,Il20rb,Ccr7,Cxcl13,Il10,Ccr9,Ccl22","gWAT_KD_vs_CTL","gWAT","Up","KEGG","ORA",1,0.05
"Human Diseases","Infectious disease: parasitic","mmu05144","Malaria","10/279","48/6447",0.208333333333333,4.81406810035842,5.64063602049836,2.97611251523425e-05,0.00287690876472644,"16414,20969,20296,27007,16176,170733,20339,16153,17057,16627",10,"Itgb2,Sdc1,Ccl2,Klrk1,Il1b,Klra17,Sele,Il10,Klrb1a,Klra1","gWAT_KD_vs_CTL","gWAT","Up","KEGG","ORA",1,0.05
"Organismal Systems","Immune system","mmu04657","IL-17 signaling pathway","12/279","72/6447",0.166666666666667,3.85125448028674,5.17412842629712,5.10261021480665e-05,0.00369939240573482,"22032,12367,20201,20296,14283,15945,20306,20310,14825,16176,17386,17392",12,"Traf4,Casp3,S100a8,Ccl2,Fosl1,Cxcl10,Ccl7,Cxcl2,Cxcl1,Il1b,Mmp13,Mmp3","gWAT_KD_vs_CTL","gWAT","Up","KEGG","ORA",1,0.05
"Organismal Systems","Immune system","mmu04613","Neutrophil extracellular trap formation","15/279","120/6447",0.125,2.88844086021505,4.44089151621803,0.000187879388277283,0.0108970045200824,"12362,16414,14129,170743,12273,319158,56644,319156,246256,170744,12796,17972,319164,319149,319166",15,"Casp1,Itgb2,Fcgr1,Tlr7,C5ar1,H4c9,Clec7a,H4c4,Fcgr4,Tlr8,Camp,Ncf4,H2ac6,H3c4,H2ac8","gWAT_KD_vs_CTL","gWAT","Up","KEGG","ORA",1,0.05
"Organismal Systems","Immune system","mmu04062","Chemokine signaling pathway","18/279","166/6447",0.108433734939759,2.50563544500583,4.17959833206931,0.000273772379737336,0.0132323316873046,"20307,20308,12774,320207,20296,15945,20306,22324,20303,20310,14825,14191,20302,12777,12775,55985,12769,20299",18,"Ccl8,Ccl9,Ccr5,Pik3r5,Ccl2,Cxcl10,Ccl7,Vav1,Ccl4,Cxcl2,Cxcl1,Fgr,Ccl3,Ccr10,Ccr7,Cxcl13,Ccr9,Ccl22","gWAT_KD_vs_CTL","gWAT","Up","KEGG","ORA",1,0.05
"Human Diseases","Infectious disease: bacterial","mmu05134","Legionellosis","9/279","53/6447",0.169811320754717,3.92391965916007,4.54560949798557,0.000387354886476401,0.0160475595825938,"12362,16414,12367,17948,268973,20310,14825,16160,16176",9,"Casp1,Itgb2,Casp3,Naip2,Nlrc4,Cxcl2,Cxcl1,Il12b,Il1b","gWAT_KD_vs_CTL","gWAT","Up","KEGG","ORA",1,0.05
"Human Diseases","Infectious disease: bacterial","mmu05152","Tuberculosis","16/279","149/6447",0.10738255033557,2.48134516850689,3.8906587557243,0.00066423665668427,0.0240785788048048,"13040,242341,12795,16411,16414,14129,12367,56644,21897,246256,12796,16160,16176,56619,16153,22337",16,"Ctss,Atp6v0d2,Plk3,Itgax,Itgb2,Fcgr1,Casp3,Clec7a,Tlr1,Fcgr4,Camp,Il12b,Il1b,Clec4e,Il10,Vdr","gWAT_KD_vs_CTL","gWAT","Up","KEGG","ORA",1,0.05
"Organismal Systems","Immune system","mmu04625","C-type lectin receptor signaling pathway","12/279","102/6447",0.117647058823529,2.71853257432005,3.72063537436725,0.001409255873963,0.0454093559388079,"12795,12362,17474,69810,56644,56620,13654,16160,16176,56619,16153,20299",12,"Plk3,Casp1,Clec4d,Clec4b1,Clec7a,Clec4n,Egr2,Il12b,Il1b,Clec4e,Il10,Ccl22","gWAT_KD_vs_CTL","gWAT","Up","KEGG","ORA",1,0.05
