"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logFC","gene_name","log2FoldChange_shrunk"
"Mrps5",397.712396960309,-0.736858249194521,0.0552017401964349,-13.3484605117958,1.20922139522021e-40,5.87812324714342e-38,-0.736858249194521,"Mrps5",-0.731499853366476
"Fmc1",361.574345193547,-1.02529764304884,0.0770523801158568,-13.3065019082757,2.1218597955524e-40,9.85981432229613e-38,-1.02529764304884,"Fmc1",-1.01232481139369
"Hsd17b10",421.400138144578,-0.981273853538092,0.0737470683258446,-13.3059371147125,2.137955957798e-40,9.85981432229613e-38,-0.981273853538092,"Hsd17b10",-0.969692880014486
"Mgst3",398.278604879609,-1.80195130256556,0.135508465346745,-13.297702825832,2.38689526327001e-40,1.07326745512936e-37,-1.80195130256556,"Mgst3",-1.75729406303701
"Lias",502.457795710009,-0.838636730278237,0.0634840976940008,-13.2101858692321,7.6634963924561e-40,3.36184502718818e-37,-0.838636730278237,"Lias",-0.830892306323909
"Mrpl11",255.186637739672,-0.867511504602492,0.0658564622826952,-13.1727620120045,1.25905865182672e-39,5.39176878851317e-37,-0.867511504602492,"Mrpl11",-0.858982971232955
"2310010J17Rik",222.223157624075,-1.16925920036343,0.0895137122019128,-13.0623473387627,5.40355522636125e-39,2.26019405351938e-36,-1.16925920036343,"2310010J17Rik",-1.15054504359877
"Gm32507",34.8868841707281,-4.69107764582871,0.363147128556485,-12.9178431465941,3.57009221060908e-38,1.45935632954579e-35,-4.69107764582871,"Gm32507",-4.54710968301318
"Myof",386.050461687997,1.16830008797516,0.0905277190746276,12.9054404542332,4.1941048628645e-38,1.6763371125218e-35,1.16830008797516,"Myof",1.14917192452587
"St6galnac5",131.711457914469,-3.12080192149644,0.242637666482296,-12.8619845662922,7.36608656427117e-38,2.88013984663003e-35,-3.12080192149644,"St6galnac5",-3.06135875077737
"St3gal6",251.619949420747,-1.52957021955259,0.119299640031315,-12.8212475674789,1.24678131898937e-37,4.77119336241336e-35,-1.52957021955259,"St3gal6",-1.49388237833765
"Cbr4",137.896402293696,-0.985496576955533,0.0770488776384527,-12.7905377360579,1.85188085262742e-37,6.93915187819931e-35,-0.985496576955533,"Cbr4",-0.972833182591122
"Acy3",107.523841466068,-1.23461212320309,0.096944299944086,-12.7352729754629,3.76526867354466e-37,1.38208412984437e-34,-1.23461212320309,"Acy3",-1.21217555245473
"9630013D21Rik",277.958507092433,-2.99852203273816,0.235867129380622,-12.7127592581983,5.0230247753757e-37,1.80688247219815e-34,-2.99852203273816,"9630013D21Rik",-2.93985617008453
