"pathway_id","pathway_name","setSize","enrichmentScore","NES","pvalue","padj","rank","leadingEdge","leadingEdge_symbols","contrast","tissue","database","ranking_metric","analysis_type","logFC_cutoff","fdr_cutoff"
"mmu05410","Hypertrophic cardiomyopathy",86,0.398476185792434,1.92236098828907,5.4927742120328e-05,0.000300835018382104,3908,"104099/21808/20541/16773/192897/13614/326618/13405/59069/16398/12289/13527/20191/320910/16410/16399/20650/12298/21954/21809/319480/16905/16420/54377/12295/16402/16400/12293/16401/12297/21803/12288/16416/241226/22003/22004/11421/56808/12296/21956/11464","Itga9,Tgfb2,Slc8a1,Lama2,Itgb4,Edn1,Tpm4,Dmd,Tpm3,Itga2,Cacna1d,Dtna,Ryr2,Itgb8,Itgav,Itga2b,Sntb2,Cacnb4,Tnni3,Tgfb3,Itga11,Lmna,Itgb6,Cacng4,Cacnb1,Itga5,Itga3,Cacna2d1,Itga4,Cacnb3,Tgfb1,Cacna1c,Itgb3,Itga8,Tpm1,Tpm2,Ace,Cacna2d2,Cacnb2,Tnnt2,Actc1","iWAT_KD_vs_CTL","iWAT","KEGG","DESeq2_Wald_stat","fgsea",1,0.05
"mmu00061","Fatty acid biosynthesis",13,-0.777399418909106,-2.13444251827711,6.26948616450077e-05,0.000338172284024587,2231,"71147/14081/14104/107476/26922/100705/223722/257633/234309","Oxsm,Acsl1,Fasn,Acaca,Mecr,Acacb,Mcat,Acsf3,Cbr4","iWAT_KD_vs_CTL","iWAT","KEGG","DESeq2_Wald_stat","fgsea",1,0.05
"mmu04650","Natural killer cell mediated cytotoxicity",86,0.394751266311551,1.90439093098106,6.79794933518668e-05,0.000361204472138278,2433,"57257/24055/14360/20963/234779/56743/22177/16414/18479/14127/18019/12506/15980/19055/18176/18106/18750/16653/216148/15894/26904/15170/22324/18707/15975","Vav3,Sh3bp2,Fyn,Syk,Plcg2,Lat2,Tyrobp,Itgb2,Pak1,Fcer1g,Nfatc2,Cd48,Ifngr2,Ppp3ca,Nras,Cd244a,Prkca,Kras,Shc2,Icam1,Sh2d1b1,Ptpn6,Vav1,Pik3cd,Ifnar1","iWAT_KD_vs_CTL","iWAT","KEGG","DESeq2_Wald_stat","fgsea",1,0.05
"mmu05133","Pertussis",62,0.434166093495687,1.90995454505746,7.51052339653633e-05,0.000393197989583373,3508,"66824/225471/12259/16414/14281/18033/12260/16409/266632/12475/12262/16176/17874/12362/50909/29857/26419/16402/75600/12258/16476/16153/17087/15900/12314/106759","Pycard,Ticam2,C1qa,Itgb2,Fos,Nfkb1,C1qb,Itgam,Irak4,Cd14,C1qc,Il1b,Myd88,Casp1,C1ra,Mapk12,Mapk8,Itga5,Calml4,Serping1,Jun,Il10,Ly96,Irf8,Calm2,Ticam1","iWAT_KD_vs_CTL","iWAT","KEGG","DESeq2_Wald_stat","fgsea",1,0.05
"mmu04933","AGE-RAGE signaling pathway in diabetic complications",97,0.373684157160654,1.84960554965431,8.18546515989234e-05,0.000422322550278503,2786,"18753/21808/13367/13614/234779/13058/18802/23797/18033/50490/14268/21812/20848/20296/12830/18176/16176/13653/18750/16653/11607/16452/15894/12567/12443/12028/21809/94216/29857/26419/14205/18707/20339/11596/21803/12843/16476","Prkcd,Tgfb2,Diaph1,Edn1,Plcg2,Cybb,Plcd4,Akt3,Nfkb1,Nox4,Fn1,Tgfbr1,Stat3,Ccl2,Col4a5,Nras,Il1b,Egr1,Prkca,Kras,Agtr1a,Jak2,Icam1,Cdk4,Ccnd1,Bax,Tgfb3,Col4a6,Mapk12,Mapk8,Vegfd,Pik3cd,Sele,Ager,Tgfb1,Col1a2,Jun","iWAT_KD_vs_CTL","iWAT","KEGG","DESeq2_Wald_stat","fgsea",1,0.05
"mmu05164","Influenza A",133,0.334464673231096,1.74772042697774,9.24712492050028e-05,0.000470282353099728,2465,"66824/11783/170743/23797/17229/18033/12914/266632/16173/20296/77125/217069/15980/16176/56489/17874/246727/18750/246728/328572/17857/12571/56417/16391/12362/16452/15894/12567/16451/12028/14999/12702/17858/53319/18854/54721/18707/230073/15975/22031","Pycard,Apaf1,Tlr7,Akt3,Tpsb2,Nfkb1,Crebbp,Irak4,Il18,Ccl2,Il33,Trim25,Ifngr2,Il1b,Ikbke,Myd88,Oas3,Prkca,Oas2,Ep300,Mx1,Cdk6,Adar,Irf9,Casp1,Jak2,Icam1,Cdk4,Jak1,Bax,H2-DMb1,Socs3,Mx2,Nxf1,Pml,Tyk2,Pik3cd,Rigi,Ifnar1,Traf3","iWAT_KD_vs_CTL","iWAT","KEGG","DESeq2_Wald_stat","fgsea",1,0.05
"mmu00982","Drug metabolism - cytochrome P450",38,-0.56481502874098,-2.04819312263554,0.000103330610191997,0.000518108411666916,3712,"68312/226564/14866/14867/14873/14863/13106/14870/14872/621603/109731/11532/11761/68214/14862/14865/14871/56615/14263/11522/14261/211666/14860/66447/76263","Gstm7,Fmo4,Gstm5,Gstm6,Gsto1,Gstm2,Cyp2e1,Gstp1,Gstt2,Aldh3b2,Maob,Adh5,Aox1,Gsto2,Gstm1,Gstm4,Gstt1,Mgst1,Fmo5,Adh1,Fmo1,Mgst2,Gsta4,Mgst3,Gstk1","iWAT_KD_vs_CTL","iWAT","KEGG","DESeq2_Wald_stat","fgsea",1,0.05
"mmu05204","Chemical carcinogenesis - DNA adducts",35,-0.584435538696767,-2.07312998032682,0.000109688483658915,0.000542348613646857,3712,"68312/13095/13076/14866/14867/14873/15483/14863/13106/14870/14872/68214/12408/20887/14862/14865/14871/56615/211666/14860/66447/76263","Gstm7,Cyp2c29,Cyp1a1,Gstm5,Gstm6,Gsto1,Hsd11b1,Gstm2,Cyp2e1,Gstp1,Gstt2,Gsto2,Cbr1,Sult1a1,Gstm1,Gstm4,Gstt1,Mgst1,Mgst2,Gsta4,Mgst3,Gstk1","iWAT_KD_vs_CTL","iWAT","KEGG","DESeq2_Wald_stat","fgsea",1,0.05
"mmu04923","Regulation of lipolysis in adipocytes",51,-0.517775123957211,-1.98354347838437,0.000113726000370418,0.000554608988107793,2454,"18708/18706/67469/14683/224129/14311/16367/22095/11539/14677/11652/23945/11832/16337/74769/11770/18747/16890/18576/103968/104111/66853/11556/225845/11512","Pik3r1,Pik3ca,Abhd5,Gnas,Adcy5,Cidec,Irs1,Tshr,Adora1,Gnai1,Akt2,Mgll,Aqp7,Insr,Pik3cb,Fabp4,Prkaca,Lipe,Pde3b,Plin1,Adcy3,Pnpla2,Adrb3,Plaat3,Adcy6","iWAT_KD_vs_CTL","iWAT","KEGG","DESeq2_Wald_stat","fgsea",1,0.05
"mmu00970","Aminoacyl-tRNA biosynthesis",57,-0.511895586959733,-1.99691334551022,0.000131952296832433,0.000634797536112786,4236,"71984/17726/70791/17733/109093/229487/22375/230577/214580/23874/71807/15115/353172/272396/67417/216443/17740/85305/70120/68915/384281/224805/69606/211006/244141/102436/226539/381314/69955","Sars2,mt-Ta,Hars2,mt-Ti,Rars2,Gatb,Wars1,Pars2,Pstk,Farsb,Tars2,Hars1,Gars1,Tars3,Ears2,Mars1,mt-Tq,Kars1,Yars2,Vars2,Gatc,Aars2,Mtfmt,Sepsecs,Nars2,Lars2,Dars2,Iars2,Fars2","iWAT_KD_vs_CTL","iWAT","KEGG","DESeq2_Wald_stat","fgsea",1,0.05
