"Contrast","Pathway","PathwayID","NES","padj","CellType","N_Overlap","N_LeadingEdge","Fraction","Overlap_Genes"
"gWAT_KD_vs_CTL","positive regulation of leukocyte migration","GO:0002687",2.26021340915142,1.00111090111296e-08,"Endothelial",4,65,0.0615384615384615,"Icam1, Plvap, Pecam1, Sele"
"gWAT_KD_vs_CTL","positive regulation of leukocyte migration","GO:0002687",2.26021340915142,1.00111090111296e-08,"T_cell",1,65,0.0153846153846154,"Ccr7"
"gWAT_KD_vs_CTL","positive regulation of leukocyte migration","GO:0002687",2.26021340915142,1.00111090111296e-08,"Dendritic",1,65,0.0153846153846154,"Cd74"
"gWAT_KD_vs_CTL","positive regulation of leukocyte migration","GO:0002687",2.26021340915142,1.00111090111296e-08,"Crown_like_structure",2,65,0.0307692307692308,"Lgals3, Trem2"
"gWAT_KD_vs_CTL","positive regulation of innate immune response","GO:0045089",2.04213381155469,1.00111090111296e-08,"Macrophage",1,116,0.00862068965517241,"Cd86"
"gWAT_KD_vs_CTL","positive regulation of innate immune response","GO:0045089",2.04213381155469,1.00111090111296e-08,"Macrophage_M1",1,116,0.00862068965517241,"Cd86"
"gWAT_KD_vs_CTL","positive regulation of innate immune response","GO:0045089",2.04213381155469,1.00111090111296e-08,"Macrophage_M2",1,116,0.00862068965517241,"Irf4"
"gWAT_KD_vs_CTL","positive regulation of innate immune response","GO:0045089",2.04213381155469,1.00111090111296e-08,"NK_cell",2,116,0.0172413793103448,"Klrk1, Klrd1"
"gWAT_KD_vs_CTL","positive regulation of innate immune response","GO:0045089",2.04213381155469,1.00111090111296e-08,"Dendritic",1,116,0.00862068965517241,"Cd74"
"gWAT_KD_vs_CTL","positive regulation of innate immune response","GO:0045089",2.04213381155469,1.00111090111296e-08,"Neutrophil",1,116,0.00862068965517241,"S100a8"
"gWAT_KD_vs_CTL","positive regulation of innate immune response","GO:0045089",2.04213381155469,1.00111090111296e-08,"Crown_like_structure",2,116,0.0172413793103448,"Mmp12, Trem2"
"gWAT_KD_vs_CTL","leukocyte cell-cell adhesion","GO:0007159",2.03756141016576,1.00111090111296e-08,"Macrophage",4,128,0.03125,"Ccr2, Itgam, Tgfb1, Cd86"
"gWAT_KD_vs_CTL","leukocyte cell-cell adhesion","GO:0007159",2.03756141016576,1.00111090111296e-08,"Macrophage_M1",3,128,0.0234375,"Ccl2, Il1b, Cd86"
"gWAT_KD_vs_CTL","leukocyte cell-cell adhesion","GO:0007159",2.03756141016576,1.00111090111296e-08,"Macrophage_M2",1,128,0.0078125,"Tgfb1"
"gWAT_KD_vs_CTL","leukocyte cell-cell adhesion","GO:0007159",2.03756141016576,1.00111090111296e-08,"Endothelial",4,128,0.03125,"Icam1, Vcam1, Pecam1, Sele"
"gWAT_KD_vs_CTL","leukocyte cell-cell adhesion","GO:0007159",2.03756141016576,1.00111090111296e-08,"T_cell",2,128,0.015625,"Il7r, Ccr7"
"gWAT_KD_vs_CTL","leukocyte cell-cell adhesion","GO:0007159",2.03756141016576,1.00111090111296e-08,"Dendritic",3,128,0.0234375,"Cd74, H2-Ab1, H2-Eb1"
"gWAT_KD_vs_CTL","leukocyte cell-cell adhesion","GO:0007159",2.03756141016576,1.00111090111296e-08,"Neutrophil",2,128,0.015625,"S100a8, S100a9"
"gWAT_KD_vs_CTL","leukocyte cell-cell adhesion","GO:0007159",2.03756141016576,1.00111090111296e-08,"Crown_like_structure",2,128,0.015625,"Lgals3, Gpnmb"
"gWAT_KD_vs_CTL","response to lipopolysaccharide","GO:0032496",2.02385755934048,1.00111090111296e-08,"Macrophage",4,134,0.0298507462686567,"Cd68, Mrc1, Cd86, Il10"
"gWAT_KD_vs_CTL","response to lipopolysaccharide","GO:0032496",2.02385755934048,1.00111090111296e-08,"Macrophage_M1",8,134,0.0597014925373134,"Ccl2, Cxcl10, Il1b, Cd86, Cxcl9, Stat1, Tnf, Cd80"
"gWAT_KD_vs_CTL","response to lipopolysaccharide","GO:0032496",2.02385755934048,1.00111090111296e-08,"Macrophage_M2",2,134,0.0149253731343284,"Mrc1, Il10"
"gWAT_KD_vs_CTL","response to lipopolysaccharide","GO:0032496",2.02385755934048,1.00111090111296e-08,"T_cell",1,134,0.00746268656716418,"Ccr7"
"gWAT_KD_vs_CTL","response to lipopolysaccharide","GO:0032496",2.02385755934048,1.00111090111296e-08,"NK_cell",1,134,0.00746268656716418,"Klrk1"
"gWAT_KD_vs_CTL","response to lipopolysaccharide","GO:0032496",2.02385755934048,1.00111090111296e-08,"Dendritic",1,134,0.00746268656716418,"Irf8"
"gWAT_KD_vs_CTL","response to lipopolysaccharide","GO:0032496",2.02385755934048,1.00111090111296e-08,"Neutrophil",2,134,0.0149253731343284,"S100a8, Camp"
"gWAT_KD_vs_CTL","response to lipopolysaccharide","GO:0032496",2.02385755934048,1.00111090111296e-08,"Crown_like_structure",1,134,0.00746268656716418,"Trem2"
"gWAT_KD_vs_CTL","production of molecular mediator involved in inflammatory response","GO:0002532",2.3706836021835,2.99936076048244e-08,"Macrophage",1,36,0.0277777777777778,"Chil3"
"gWAT_KD_vs_CTL","production of molecular mediator involved in inflammatory response","GO:0002532",2.3706836021835,2.99936076048244e-08,"Macrophage_M2",1,36,0.0277777777777778,"Chil3"
"gWAT_KD_vs_CTL","production of molecular mediator involved in inflammatory response","GO:0002532",2.3706836021835,2.99936076048244e-08,"Crown_like_structure",1,36,0.0277777777777778,"Trem2"
"gWAT_KD_vs_CTL","lipid localization","GO:0010876",1.8375112476029,4.14233243585071e-07,"Macrophage_M1",1,111,0.00900900900900901,"Il1b"
"gWAT_KD_vs_CTL","lipid localization","GO:0010876",1.8375112476029,4.14233243585071e-07,"Crown_like_structure",3,111,0.027027027027027,"Spp1, Fabp5, Trem2"
"gWAT_KD_vs_CTL","leukocyte homeostasis","GO:0001776",2.11956938322174,5.08914170581616e-07,"Macrophage",4,44,0.0909090909090909,"Ccr2, Csf1r, Itgam, Tgfb1"
"gWAT_KD_vs_CTL","leukocyte homeostasis","GO:0001776",2.11956938322174,5.08914170581616e-07,"Macrophage_M1",1,44,0.0227272727272727,"Ccl2"
"gWAT_KD_vs_CTL","leukocyte homeostasis","GO:0001776",2.11956938322174,5.08914170581616e-07,"Macrophage_M2",1,44,0.0227272727272727,"Tgfb1"
"gWAT_KD_vs_CTL","leukocyte homeostasis","GO:0001776",2.11956938322174,5.08914170581616e-07,"T_cell",1,44,0.0227272727272727,"Il7r"
"gWAT_KD_vs_CTL","leukocyte homeostasis","GO:0001776",2.11956938322174,5.08914170581616e-07,"Dendritic",2,44,0.0454545454545455,"Cd74, Flt3"
"gWAT_KD_vs_CTL","actin filament organization","GO:0007015",1.74653889722272,2.36862305386261e-06,"Endothelial",2,95,0.0210526315789474,"Icam1, Pecam1"
"gWAT_KD_vs_CTL","intracellular monoatomic ion homeostasis","GO:0006873",1.71438899158885,2.63010035394429e-06,"Macrophage",2,124,0.0161290322580645,"Ccr2, Tgfb1"
"gWAT_KD_vs_CTL","intracellular monoatomic ion homeostasis","GO:0006873",1.71438899158885,2.63010035394429e-06,"Macrophage_M1",2,124,0.0161290322580645,"Ccl2, Cxcl10"
"gWAT_KD_vs_CTL","intracellular monoatomic ion homeostasis","GO:0006873",1.71438899158885,2.63010035394429e-06,"Macrophage_M2",1,124,0.00806451612903226,"Tgfb1"
"gWAT_KD_vs_CTL","intracellular monoatomic ion homeostasis","GO:0006873",1.71438899158885,2.63010035394429e-06,"Mast_cell",1,124,0.00806451612903226,"Ms4a2"
"gWAT_KD_vs_CTL","intracellular monoatomic ion homeostasis","GO:0006873",1.71438899158885,2.63010035394429e-06,"Crown_like_structure",1,124,0.00806451612903226,"Spp1"
"gWAT_KD_vs_CTL","reactive oxygen species metabolic process","GO:0072593",1.92758034838405,2.75734594238992e-06,"Macrophage",2,75,0.0266666666666667,"Itgam, Tgfb1"
"gWAT_KD_vs_CTL","reactive oxygen species metabolic process","GO:0072593",1.92758034838405,2.75734594238992e-06,"Macrophage_M2",1,75,0.0133333333333333,"Tgfb1"
"iWAT_KD_vs_CTL","fatty acid beta-oxidation","GO:0006635",-2.93466125828883,7.68e-09,"Adipocyte",3,50,0.06,"Lep, Irs1, Adipoq"
"iWAT_KD_vs_CTL","leukocyte degranulation","GO:0043299",2.7677642386691,7.68e-09,"Macrophage",2,36,0.0555555555555556,"Ccr2, Itgam"
"iWAT_KD_vs_CTL","leukocyte degranulation","GO:0043299",2.7677642386691,7.68e-09,"Mast_cell",3,36,0.0833333333333333,"Ms4a2, Fcer1a, Kit"
"iWAT_KD_vs_CTL","antigen receptor-mediated signaling pathway","GO:0050851",2.38142990947891,7.68e-09,"Macrophage_M1",1,59,0.0169491525423729,"Nfkb1"
"iWAT_KD_vs_CTL","antigen receptor-mediated signaling pathway","GO:0050851",2.38142990947891,7.68e-09,"B_cell",1,59,0.0169491525423729,"Blnk"
"iWAT_KD_vs_CTL","antigen receptor-mediated signaling pathway","GO:0050851",2.38142990947891,7.68e-09,"Crown_like_structure",1,59,0.0169491525423729,"Lgals3"
"iWAT_KD_vs_CTL","lipid catabolic process","GO:0016042",-2.37119693484099,7.68e-09,"Adipocyte",8,124,0.0645161290322581,"Lep, Cidec, Irs1, Lpl, Adipoq, Plin1, Pck1, Cidea"
"iWAT_KD_vs_CTL","lipid catabolic process","GO:0016042",-2.37119693484099,7.68e-09,"Crown_like_structure",1,124,0.00806451612903226,"Lpl"
"iWAT_KD_vs_CTL","positive regulation of leukocyte migration","GO:0002687",2.33117281921401,7.68e-09,"Macrophage",4,68,0.0588235294117647,"Ccr2, Csf1r, Lyve1, Tgfb1"
"iWAT_KD_vs_CTL","positive regulation of leukocyte migration","GO:0002687",2.33117281921401,7.68e-09,"Macrophage_M1",2,68,0.0294117647058824,"Ccl2, Il1b"
"iWAT_KD_vs_CTL","positive regulation of leukocyte migration","GO:0002687",2.33117281921401,7.68e-09,"Macrophage_M2",1,68,0.0147058823529412,"Tgfb1"
"iWAT_KD_vs_CTL","positive regulation of leukocyte migration","GO:0002687",2.33117281921401,7.68e-09,"Endothelial",3,68,0.0441176470588235,"Icam1, Plvap, Sele"
"iWAT_KD_vs_CTL","positive regulation of leukocyte migration","GO:0002687",2.33117281921401,7.68e-09,"Crown_like_structure",1,68,0.0147058823529412,"Lgals3"
"iWAT_KD_vs_CTL","positive regulation of cytokine production","GO:0001819",2.27753050284569,7.68e-09,"Preadipocyte",1,190,0.00526315789473684,"Cd34"
"iWAT_KD_vs_CTL","positive regulation of cytokine production","GO:0001819",2.27753050284569,7.68e-09,"Macrophage",6,190,0.0315789473684211,"Ccr2, Fcgr1, Csf1r, Chil3, Tgfb1, Il10"
"iWAT_KD_vs_CTL","positive regulation of cytokine production","GO:0001819",2.27753050284569,7.68e-09,"Macrophage_M1",5,190,0.0263157894736842,"Irf5, Fcgr1, Ccl2, Il1b, Ptgs2"
"iWAT_KD_vs_CTL","positive regulation of cytokine production","GO:0001819",2.27753050284569,7.68e-09,"Macrophage_M2",3,190,0.0157894736842105,"Chil3, Tgfb1, Il10"
"iWAT_KD_vs_CTL","positive regulation of cytokine production","GO:0001819",2.27753050284569,7.68e-09,"Endothelial",1,190,0.00526315789473684,"Tek"
"iWAT_KD_vs_CTL","positive regulation of cytokine production","GO:0001819",2.27753050284569,7.68e-09,"NK_cell",1,190,0.00526315789473684,"Fcgr3"
"iWAT_KD_vs_CTL","positive regulation of cytokine production","GO:0001819",2.27753050284569,7.68e-09,"Fibroblast",2,190,0.0105263157894737,"Lum, Postn"
"iWAT_KD_vs_CTL","positive regulation of cytokine production","GO:0001819",2.27753050284569,7.68e-09,"Dendritic",1,190,0.00526315789473684,"Irf8"
"iWAT_KD_vs_CTL","positive regulation of cytokine production","GO:0001819",2.27753050284569,7.68e-09,"Mast_cell",2,190,0.0105263157894737,"Fcer1a, Kit"
"iWAT_KD_vs_CTL","positive regulation of cytokine production","GO:0001819",2.27753050284569,7.68e-09,"Crown_like_structure",1,190,0.00526315789473684,"Mmp12"
"iWAT_KD_vs_CTL","regulation of actin cytoskeleton organization","GO:0032956",2.07740528358908,7.68e-09,"Macrophage",2,113,0.0176991150442478,"Csf1r, Tgfb1"
"iWAT_KD_vs_CTL","regulation of actin cytoskeleton organization","GO:0032956",2.07740528358908,7.68e-09,"Macrophage_M2",1,113,0.00884955752212389,"Tgfb1"
"iWAT_KD_vs_CTL","regulation of actin cytoskeleton organization","GO:0032956",2.07740528358908,7.68e-09,"Endothelial",1,113,0.00884955752212389,"Icam1"
"iWAT_KD_vs_CTL","leukocyte activation involved in immune response","GO:0002366",2.06529981375367,7.68e-09,"Macrophage",4,97,0.0412371134020619,"Ccr2, Itgam, Tgfb1, Il10"
"iWAT_KD_vs_CTL","leukocyte activation involved in immune response","GO:0002366",2.06529981375367,7.68e-09,"Macrophage_M2",3,97,0.0309278350515464,"Tgfb1, Il10, Stat6"
"iWAT_KD_vs_CTL","leukocyte activation involved in immune response","GO:0002366",2.06529981375367,7.68e-09,"Endothelial",1,97,0.0103092783505155,"Icam1"
"iWAT_KD_vs_CTL","leukocyte activation involved in immune response","GO:0002366",2.06529981375367,7.68e-09,"Dendritic",1,97,0.0103092783505155,"Irf8"
