"pathway_id","pathway_name","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","geneID","Count","contrast","tissue","direction","database","analysis_type","logFC_cutoff","fdr_cutoff"
"GO:0042742","defense response to bacterium","31/580","231/15043",0.134199134199134,3.48061650992686,7.608453031261,1.34661866007609e-09,2.74149115547157e-07,"Mpeg1,Myo1f,Slc11a1,Casp1,Fcgr1,Clec4d,C5ar1,Naip2,Ear2,Nlrc4,Slamf8,Igha,Il7r,Camp,Klrk1,Stab2,Fgr,Oas3,Il12b,Il1b,Rnase10,Cxcl13,Clec4e,Havcr2,Oas1a,Wfdc18,Prg2,Il10,Gzmb,Ighg2b,Jchain",31,"gWAT_KD_vs_CTL","gWAT","Up","GO:BP","ORA",1,0.05
"GO:0006935","chemotaxis","41/580","378/15043",0.108465608465608,2.81318646232439,7.14965243409523,2.1828295762234e-09,3.97842067097476e-07,"Adam8,Lgals3,Nckap1l,Ccl8,Ccl9,C3ar1,Itgb2,Ccr5,S100a8,Ccl2,C5ar1,Ear2,F7,Spp1,Tnfaip6,Slamf8,Bst1,Cxcl10,Ccl7,Csf3r,Vav1,Ccl4,Cxcl2,C5ar2,Klrk1,Cxcl1,Sema4d,Saa3,Ccl3,Ccr10,Il1b,Padi2,Ccr7,Cxcl13,Bin2,Slit2,Ccr9,Cnr2,Ccl22,Pik3c2g,Stap1",41,"gWAT_KD_vs_CTL","gWAT","Up","GO:BP","ORA",1,0.05
"GO:0001906","cell killing","27/580","184/15043",0.146739130434783,3.80585644677661,7.66861904660023,2.19847233148421e-09,3.97842067097476e-07,"Tyrobp,Lgals3,Nckap1l,Ccl8,Ccr5,Fcgr1,Ccl2,Clec7a,H2-Q7,Cxcl10,Fcgr4,Vav1,Il7r,Camp,Sh2d1b1,Klrk1,Cxcl1,Il12b,Cxcl13,Havcr2,H60b,H2-M2,Gzmb,Ccl22,Gzmm,Stap1,Klrb1a",27,"gWAT_KD_vs_CTL","gWAT","Up","GO:BP","ORA",1,0.05
"GO:0043303","mast cell degranulation","13/580","45/15043",0.288888888888889,7.49268199233716,8.73476670543074,8.54046249973217e-09,1.43892068185143e-06,"Cd84,Lat2,Hmox1,Cd300a,Milr1,Ms4a2,Mrgprb1,Slc18a2,Fcer1a,Mrgprx2,Fgr,Nr4a3,Il13ra2",13,"gWAT_KD_vs_CTL","gWAT","Up","GO:BP","ORA",1,0.05
"GO:0070098","chemokine-mediated signaling pathway","15/580","63/15043",0.238095238095238,6.17528735632184,8.24302150318846,1.13651623173644e-08,1.79129622847234e-06,"Ccl8,Ccl9,Ccr5,Ccl2,Cxcl10,Ccl7,Ccl4,Ccl3,Ccr10,Padi2,Ccr7,Cxcl13,Slit2,Ccr9,Ccl22",15,"gWAT_KD_vs_CTL","gWAT","Up","GO:BP","ORA",1,0.05
"GO:0002685","regulation of leukocyte migration","28/580","218/15043",0.128440366972477,3.33125593166719,6.94318034286948,2.25925255141379e-08,3.24667881359053e-06,"Adam8,Lgals3,Nckap1l,Myo1f,Gdf15,Cd200r1,Cd300a,C3ar1,Ccl2,C5ar1,F7,Tnfaip6,Slamf8,Bst1,Cxcl10,Ccl7,Ada,C5ar2,Klrk1,Ccl3,Gcsam,Il1b,Padi2,Ccr7,Cxcl13,Sele,Slit2,Stap1",28,"gWAT_KD_vs_CTL","gWAT","Up","GO:BP","ORA",1,0.05
"GO:1990868","response to chemokine","15/580","73/15043",0.205479452054795,5.32935758148323,7.42525859912799,9.47039791522121e-08,1.21769379509923e-05,"Ccl8,Ccl9,Ccr5,Ccl2,Cxcl10,Ccl7,Ccl4,Ccl3,Ccr10,Padi2,Ccr7,Cxcl13,Slit2,Ccr9,Ccl22",15,"gWAT_KD_vs_CTL","gWAT","Up","GO:BP","ORA",1,0.05
"GO:0031341","regulation of cell killing","17/580","98/15043",0.173469387755102,4.49913793103448,6.95927079929489,1.82243611550469e-07,2.13962158958952e-05,"Tyrobp,Nckap1l,Ccr5,Ccl2,Clec7a,H2-Q7,Vav1,Il7r,Sh2d1b1,Klrk1,Cxcl1,Il12b,Havcr2,H60b,H2-M2,Stap1,Klrb1a",17,"gWAT_KD_vs_CTL","gWAT","Up","GO:BP","ORA",1,0.05
"GO:0031349","positive regulation of defense response","42/580","463/15043",0.0907127429805616,2.35274447009756,5.92059149040051,2.39534788285479e-07,2.65992494446103e-05,"Ctss,Tyrobp,Adam8,Tlr13,Cd300a,Slc15a3,Casp1,Tnip3,Ccr5,Fcgr1,Casp3,Pik3ap1,S100a8,Hpx,Oasl1,Tlr7,Mmp12,Fosl1,Nlrc4,Clec7a,Tlr1,Clec4n,Fcer1a,Kcnn4,Vav1,Tlr8,Sh2d1b1,Klrk1,Cxcl1,Oas3,Ccl3,Il12b,Irf4,Il1b,Ccr7,Clec4e,Havcr2,Oas1a,Osm,Ighg2b,Stap1,Cck",42,"gWAT_KD_vs_CTL","gWAT","Up","GO:BP","ORA",1,0.05
"GO:0001909","leukocyte mediated cytotoxicity","19/580","124/15043",0.153225806451613,3.97409621802002,6.65937691333187,2.67098536556385e-07,2.90009655469888e-05,"Tyrobp,Nckap1l,Fcgr1,Ccl2,H2-Q7,Fcgr4,Vav1,Il7r,Sh2d1b1,Klrk1,Cxcl1,Il12b,Havcr2,H60b,H2-M2,Gzmb,Gzmm,Stap1,Klrb1a",19,"gWAT_KD_vs_CTL","gWAT","Up","GO:BP","ORA",1,0.05
"GO:0071706","tumor necrosis factor superfamily cytokine production","23/580","181/15043",0.12707182320442,3.29576109735188,6.22250059928087,4.95569344228352e-07,4.84270363179946e-05,"Tyrobp,Adam8,Gpnmb,Cd84,Clec4a2,Ccr5,Fcgr1,Lilrb4b,Cd300ld,Ccl2,Clec7a,Tlr1,Kcnn4,Ccl4,Lilrb4a,C5ar2,Oas3,Ccl3,Il12b,Ccr7,Havcr2,Oas1a,Il10",23,"gWAT_KD_vs_CTL","gWAT","Up","GO:BP","ORA",1,0.05
