"pathway_id","pathway_name","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","geneID","Count","contrast","tissue","direction","database","analysis_type","logFC_cutoff","fdr_cutoff"
"GO:0038065","collagen-activated signaling pathway","17/1423","54/15043",0.314814814814815,3.32801072330236,5.53939347318603,5.57821064153241e-06,0.00122220518676886,"Itga2,Col4a5,Enpp1,Fgfr3,Epha2,Epha1,Fgfr2,Ephb3,Itga11,Epha3,Kit,Col4a6,Tyro3,Ror2,Erbb2,Epha7,Ltk",17,"iWAT_KD_vs_CTL","iWAT","Up","GO:BP","ORA",1,0.05
"GO:0032409","regulation of transporter activity","35/1423","168/15043",0.208333333333333,2.2023600374795,5.06555896856132,5.97715809458997e-06,0.00126596208443415,"Edn1,Plcg2,Fxyd2,Gpr35,Cacna1d,Atp1b1,Kcne3,Ptpn3,Chrm3,Scn3b,Cacnb4,Hpca,Stac2,Neto1,Ank3,Cacng4,Rasgrf1,Scn2b,Stac,Kcnab1,Scn4b,Jph2,Cacnb3,Reln,Pln,Cbarp,Wnk2,Nlgn1,Cacnb2,Shisa9,Lrrc26,Casq1,Slc5a1,Rnf207,Hap1",35,"iWAT_KD_vs_CTL","iWAT","Up","GO:BP","ORA",1,0.05
"GO:0008544","epidermis development","51/1423","292/15043",0.174657534246575,1.84636211361295,4.72066951200031,1.20709033740356e-05,0.00225583882466535,"Tgfb2,Cdkn1a,Exph5,Errfi1,Hpse,Foxc1,Vangl2,Hey1,Fgfr3,Runx1,Krt4,Kcnma1,Lama5,Lrp4,Sostdc1,Wnt16,Cldn1,Epha2,Fgfr2,Alx4,Krt6a,Cd109,Lsr,Lgr5,Cdkn2a,Ptgs2,Vdr,Minar2,Sfrp4,Inhba,Pls1,Krt78,Evpl,Pou3f1,Tgm1,Sprr1a,Ivl,Cdh3,Etv4,Celsr1,Slitrk6,Barx2,Pkp3,St14,Pkp1,Irf6,Sox9,Dlx3,Cysrt1,Tnf,Mansc4",51,"iWAT_KD_vs_CTL","iWAT","Up","GO:BP","ORA",1,0.05
"GO:0030216","keratinocyte differentiation","24/1423","100/15043",0.24,2.53711876317639,4.98488580810772,1.47794514340541e-05,0.00263901421702844,"Tgfb2,Cdkn1a,Exph5,Errfi1,Foxc1,Krt4,Wnt16,Epha2,Krt6a,Cd109,Cdkn2a,Ptgs2,Vdr,Krt78,Evpl,Pou3f1,Tgm1,Sprr1a,Ivl,Cdh3,Etv4,St14,Pkp1,Irf6",24,"iWAT_KD_vs_CTL","iWAT","Up","GO:BP","ORA",1,0.05
"GO:0099560","synaptic membrane adhesion","12/1423","33/15043",0.363636363636364,3.84411933814604,5.28665691912661,2.63189983312345e-05,0.00407880281455277,"Il1rap,Cadm4,Cadm1,Mdga1,Igsf9b,Epha3,Lrfn3,Nlgn1,Ntng1,Elfn1,Tenm3,Mdga2",12,"iWAT_KD_vs_CTL","iWAT","Up","GO:BP","ORA",1,0.05
"GO:0002279","mast cell activation involved in immune response","15/1423","49/15043",0.306122448979592,3.23612087139845,5.0675874322271,2.8663375247866e-05,0.00433635919821287,"Cd84,Milr1,Lat2,Enpp3,Mrgprb1,Cd300a,Ms4a2,Fgr,Slc18a2,Fcer1a,Mrgprx2,Kit,Adora3,Adora2b,Lilrb4a",15,"iWAT_KD_vs_CTL","iWAT","Up","GO:BP","ORA",1,0.05
"GO:0034329","cell junction assembly","69/1423","448/15043",0.154017857142857,1.62817331342235,4.36297905549893,3.23510316783643e-05,0.00478042919265877,"Fmn1,Arhgap6,Ptprk,Sdk1,Itgb4,Flrt2,Ptpn13,Epb41l3,Il1rap,Itga2,Cadm1,Ugt8a,Nfasc,Mdga1,Mark1,Gpm6a,Gabre,Il1b,Snap25,Slit2,Lrp4,Irx3,Adgrl3,Cldn1,Gap43,Epha2,Ephb3,Cldn19,Cdh24,Epha3,Lsr,Plxnb1,Efnb3,Cldn10,Srgap3,Patj,Gabrb3,Six4,Ache,Marveld2,Reln,Lrfn3,Bdnf,Arhgap33,Srcin1,Nlgn1,Epha7,Lama3,Elfn1,Nr1h4,Cdh3,Shank2,Slitrk6,Mdga2,Cgn,Pkp3,Wnt4,Rhpn1,Pkp1,Tpbg,Kirrel3,Marveld3,Col17a1,Myoc,Tnf,St8sia2,Gria1,Ocln,Crb3",69,"iWAT_KD_vs_CTL","iWAT","Up","GO:BP","ORA",1,0.05
"GO:0031644","regulation of nervous system process","27/1423","125/15043",0.216,2.28340688685875,4.65726294957999,3.43746419149956e-05,0.00496401078927005,"Tnfrsf21,Gpr35,Itgax,Itga2,Wasf3,Plk2,Cdk18,Egr2,Pawr,Igsf9b,Neto1,Cacng4,Cacnb3,Reln,Nlgn1,Rims2,Prkcz,Ncmap,Sox10,Shisa9,Tac1,Begain,Myrf,Npy2r,Tnf,Gria1,Tmem25",27,"iWAT_KD_vs_CTL","iWAT","Up","GO:BP","ORA",1,0.05
"GO:0050974","detection of mechanical stimulus involved in sensory perception","12/1423","34/15043",0.352941176470588,3.73105700467116,5.15301056999894,3.71929692428947e-05,0.00525164725709673,"Itga2,Col11a1,Pawr,Htr7,Htr2a,Phf24,Kit,Cxcr4,Cacnb3,Slc12a2,Piezo2,Tnf",12,"iWAT_KD_vs_CTL","iWAT","Up","GO:BP","ORA",1,0.05
"GO:0007613","memory","30/1423","147/15043",0.204081632653061,2.15741391426564,4.55805144999886,4.06982783042601e-05,0.00550809260093175,"Il1rn,Fos,Aph1c,Slc6a4,Tacr1,Cyp7b1,Trpm4,Ptchd1,Plk2,Il1b,Snap25,Brinp1,Htr7,Htr2a,Rin1,Pde5a,Neto1,Ptgs2,Gabrb3,Csmd1,Reln,Itga8,Cck,Prkcz,Shank2,Pak6,Tac1,Adcy1,Glp1r,Gria1",30,"iWAT_KD_vs_CTL","iWAT","Up","GO:BP","ORA",1,0.05
