"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logFC","gene_name"
"Prr32",59.0003258972653,-3.29136198113641,0.321897398428524,-10.224879098758,1.53419275053391e-24,1.32663417361072e-22,-3.29136198113641,"Prr32"
"Tex2",257.348901274342,-0.884021253453991,0.0866768890996302,-10.1990422434042,2.00237306578144e-24,1.7231905244567e-22,-0.884021253453991,"Tex2"
"Ndc1",147.176841938998,-1.35311961598562,0.132816669236353,-10.1878749389332,2.24620441190315e-24,1.92382059773762e-22,-1.35311961598562,"Ndc1"
"Tmem184c",257.606298617159,-0.69618026246794,0.0683482278460675,-10.1857836612218,2.29503218328762e-24,1.95632458998157e-22,-0.69618026246794,"Tmem184c"
"Mrpl2",341.542252891351,-0.656180238529845,0.0644269816157659,-10.1848669931989,2.3167648947979e-24,1.96553459423751e-22,-0.656180238529845,"Mrpl2"
"Mrpl45",277.790490930333,-0.710378476866636,0.0698470100335568,-10.1704922877206,2.68547938486779e-24,2.26765409465878e-22,-0.710378476866636,"Mrpl45"
"Gm36816",15.8182601207774,-3.2688145355359,0.321464609077325,-10.1685051580581,2.74082551881982e-24,2.30357419539688e-22,-3.2688145355359,"Gm36816"
"Sox6",279.458511111831,-1.45407112181325,0.14329455288417,-10.1474277461797,3.40212204752137e-24,2.84607289054508e-22,-1.45407112181325,"Sox6"
"Ankef1",240.432924446157,-2.28284303204249,0.225378716732089,-10.128920179966,4.11164799117069e-24,3.42370836894426e-22,-2.28284303204249,"Ankef1"
"P2rx7",118.441781771534,0.959606941624678,0.0948244448995146,10.119826618986,4.51214199621199e-24,3.73987953658382e-22,0.959606941624678,"P2rx7"
"Snrpn",61.4284055493166,-1.21844321726041,0.120416517538241,-10.1185721209174,4.57034256519627e-24,3.77074226502844e-22,-1.21844321726041,"Snrpn"
"Eipr1",131.935238985213,-0.786094004242601,0.0777410561473967,-10.111697000259,4.90275817202049e-24,4.02653006766943e-22,-0.786094004242601,"Eipr1"
"Gm62750",21.8337687028118,-3.36379308326692,0.333321324907768,-10.0917428076278,6.00929830270587e-24,4.9128745123849e-22,-3.36379308326692,"Gm62750"
"Kcns3",101.312326024996,-1.95741401070093,0.194154427115751,-10.0817377166164,6.65387933011551e-24,5.41523410097093e-22,-1.95741401070093,"Kcns3"
"Net1",446.400449084315,-1.22739585916776,0.121836598545967,-10.074114624143,7.19054673297086e-24,5.8139109152958e-22,-1.22739585916776,"Net1"
